,TRADE_VOLUME,TRADE_VALUE,TRADE_COUNT,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE
0,10479,236337.3,18,22.5,22.69,22.05,22.55
1,1890,42591.5,8,22.55,22.55,22.2,22.54
2,2257,50205.67,8,22.5,22.5,22.01,22.24
3,545,11939.95,3,22.0,22.0,21.87,21.91
4,1782,39146.32,6,22.01,22.01,21.92,21.97
5,22540,494907.15,21,21.7,22.0,21.65,21.96
6,72940,1596624.22,69,21.5,22.0,21.05,21.89
7,35067,768040.5,30,21.99,22.0,21.9,21.9
8,1400,30800.0,6,22.0,22.0,22.0,22.0
9,10754,237553.35,20,22.25,22.65,21.89,22.09
10,1615,35195.1,8,22.37,22.38,21.66,21.79
11,27,568.62,1,21.06,21.06,21.06,21.79
12,9343,204902.05,17,21.55,22.25,21.55,21.93
13,19611,432390.58,27,22.0,22.2,21.61,22.05
14,5906,130852.02,17,22.55,22.59,21.75,22.16
15,12363,263723.72,26,21.26,21.5,21.01,21.33
16,51813,1108150.76,22,21.33,21.51,21.02,21.39
17,3309,71154.38,10,21.56,21.56,21.32,21.5
18,13000,285511.7,19,21.5,22.0,21.5,21.96
19,2528,55657.06,9,21.53,22.57,21.53,22.02
20,20837,461518.99,26,22.5,22.59,22.0,22.15
21,3000,65190.0,3,21.73,21.73,21.73,21.73
22,3275,71483.5,6,21.73,22.18,21.62,21.83
23,2097,46260.63,9,21.75,22.29,21.75,22.06
24,5509,121276.03,25,22.5,22.5,21.9,22.01
25,250,5480.0,1,21.92,21.92,21.92,22.01
26,8700,196088.7,19,22.47,22.61,22.11,22.54
27,6350,142440.0,12,22.57,22.61,22.12,22.43
28,9720,219303.08,11,22.5,22.65,22.5,22.56
29,4175,93217.05,11,22.14,22.5,22.14,22.33
30,5901,130558.6,14,22.21,22.21,22.0,22.12
31,2175,47451.61,7,22.12,22.12,21.51,21.82
32,4760,103935.4,14,21.25,22.0,21.25,21.84
33,4891,109328.51,24,22.0,22.43,22.0,22.35
34,3310,72864.9,10,22.03,22.03,22.0,22.01
35,1001,21998.25,8,21.62,22.1,21.62,21.98
36,7392,164188.59,21,21.67,22.65,21.67,22.21
37,1350,29672.5,4,22.0,22.0,21.89,21.98
38,13136,289179.81,24,22.0,22.07,22.0,22.01
39,1163,25586.0,3,22.0,22.0,22.0,22.0
40,23645,520076.25,44,21.97,22.01,21.63,22.0
41,11431,250587.0,18,22.0,22.1,21.61,21.92
42,5090,113004.0,15,22.07,22.39,22.0,22.2
43,4805,106379.97,13,22.1,22.35,22.07,22.14
44,442,9754.94,4,22.07,22.07,22.07,22.14
45,12391,272911.76,28,22.35,22.4,22.0,22.02
46,600,13210.3,4,22.02,22.03,22.01,22.02
47,270,5956.2,3,22.06,22.06,22.06,22.02
48,6806,149841.38,14,22.06,22.06,21.52,22.02
49,6490,142806.45,11,22.03,22.03,22.0,22.0
50,7050,155150.18,20,22.1,22.1,22.0,22.01
51,4285,94695.18,9,22.1,22.11,22.01,22.1
52,5607,125815.14,14,22.1,22.61,22.1,22.44
53,625,14325.0,3,22.89,22.94,22.89,22.92
54,19766,453224.9,16,22.93,23.0,22.9,22.93
55,11075,254249.64,18,22.5,23.1,22.5,22.96
56,5230,120290.0,8,23.0,23.0,23.0,23.0
57,20029,460652.5,14,22.5,23.0,22.5,23.0
58,744,16474.24,2,22.11,22.21,22.11,22.14
59,25223,567996.55,9,22.5,23.0,22.5,22.52
60,988,22324.35,6,22.5,22.75,22.5,22.6
61,4193,94561.93,8,22.51,22.7,22.5,22.55
62,3602,83059.81,17,23.0,23.23,23.0,23.06
63,1450,32850.0,3,22.5,23.0,22.5,22.66
64,69,1587.0,1,23.0,23.0,23.0,22.66
65,850,19413.44,4,23.0,23.0,22.76,22.84
66,4544,104529.0,12,21.5,23.19,21.5,23.0
67,8115,190089.09,27,23.35,24.0,22.99,23.42
68,975,21468.0,8,22.0,22.42,22.0,22.02
69,8750,187259.12,17,21.2,22.0,21.1,21.4
70,1045,22601.25,4,22.0,22.0,21.25,21.63
71,2016,43136.4,8,21.36,21.8,21.35,21.4
72,4639,101240.41,14,21.5,21.99,21.5,21.82
73,1401,30822.0,8,22.0,22.0,22.0,22.0
74,22666,507560.3,29,22.48,22.51,22.0,22.39
75,5159,116077.5,8,22.5,22.5,22.5,22.5
76,615,13837.5,4,22.5,22.5,22.5,22.5
77,3735,83993.5,8,22.5,22.5,22.1,22.49
78,950,21259.5,8,22.65,22.75,22.1,22.38
79,149016,3367098.86,5,21.5,22.6,21.5,22.6
80,936,21057.06,6,22.5,22.5,22.01,22.5
81,3650,82125.0,4,22.5,22.5,22.5,22.5
82,1810,40648.3,6,21.8,22.5,21.8,22.46
83,7151,159434.58,16,22.05,22.55,21.72,22.3
84,2000,44640.0,3,22.5,22.5,22.3,22.32
85,243,5423.76,7,22.32,22.32,22.32,22.32
86,1450,33133.0,9,22.5,23.0,22.5,22.85
87,3882,90181.52,5,23.18,23.24,23.1,23.23
88,1171,26941.0,5,23.01,23.01,23.0,23.01
89,899,20609.5,3,23.0,23.0,22.75,22.92
90,2368,55275.98,10,23.1,23.99,22.75,23.34
91,288,6564.5,3,22.8,22.8,22.75,23.34
92,1000,22750.0,2,22.75,22.75,22.75,22.75
93,161700,3719100.0,1,23.0,23.0,23.0,23.0
